Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT
2023-12-01T00:00:00,201.2,208.7,1.037,39.6,0,1,0,0,135.6,23.3,0,30.9,18.9,1238,3.9,47,50.9,3.9,81.9,78,75.6,-2.4,48,0,47,47,65,11.2,14.8,9.1
2023-12-01T00:10:00,180.5,203.5,1.127,38.4,0,1,0,0,130.4,23.3,0,30.9,18.9,1238,3.5,47.3,50.8,3.8,81.7,77.9,75.6,-2.3,48,0,47,47,64.1,11.5,15.2,9.3
2023-12-01T00:20:00,170.2,200.8,1.179,37.6,0,1,0,0,127.8,23.3,0,30.9,18.9,1238,3.3,47.4,50.7,3.7,81.5,77.8,75.6,-2.2,48,0,47,47,63.6,11.6,15.4,9.4
2023-12-01T00:30:00,184.9,201.2,1.088,37.8,0,1,0,0,128.3,23.3,0,30.6,18.9,1233,3.6,47.2,50.8,3.8,81.4,77.6,75.6,-2,48,0,47,47,63.8,11.6,15.2,9.4
2023-12-01T00:40:00,176.4,181.4,1.028,34.6,0,1,0,0,117.6,24.1,0,30.8,8.9,1282.8,3.3,47.5,50.8,3.7,81.5,77.8,75.6,-2.2,48,0,47,47,64.8,13.3,17,4.9
2023-12-01T00:50:00,181.9,189.7,1.043,37,0,1,0,0,125.7,24.1,0,31,8.9,1284,3.4,47.4,50.8,3.1,83.4,80.3,75.6,-4.7,48,0,47,47,66.3,12.7,16.4,4.7
2023-12-01T01:00:00,179.5,193,1.076,38.1,0,1,0,0,129.2,24.1,0,31,8.7,1266.8,3.4,47.4,50.8,3.3,85.1,81.8,75.6,-6.2,48,0,47,47,66.9,12.5,16.1,4.5
2023-12-01T01:10:00,165.2,214.1,1.296,44.4,0,1,0,0,150.9,24,0,31,8.3,1279.1,3.1,47.4,50.5,3.4,86.2,82.8,75.6,-7.2,48,0,47,46,70.5,11.2,14.5,3.9
2023-12-01T01:20:00,170.4,207.6,1.218,42.5,0,1,0,0,144.2,24.1,0,31.1,8.3,1277.9,3.2,47.4,50.6,3.3,86.7,83.4,75.6,-7.8,48,0,47,46,69.4,11.6,15,4
2023-12-01T01:30:00,180.7,197.2,1.091,39.5,0,1,0,0,134.2,24,0,30.9,8.1,1275.5,3.4,47.3,50.7,3.5,87.3,83.8,75.6,-8.2,48,0,47,46,68.1,12.1,15.7,4.1
2023-12-01T01:40:00,164.7,202.8,1.231,41.1,0,1,0,0,139.6,24,0,30.9,8.2,1275.5,3.1,47.4,50.5,3.4,87.7,84.3,75.6,-8.7,48,0,47,46,68.9,11.9,15.3,4
2023-12-01T01:50:00,193.2,202.7,1.049,41.1,0,1,0,0,139.5,24,0,31,8.2,1287.7,3.6,47.2,50.8,3.5,87.9,84.4,75.6,-8.8,48,0,47,46,68.8,11.9,15.3,4
2023-12-01T02:00:00,0,66.4,0,0,0,0,0,0,0.4,24.9,0,32.8,8.3,0,0.9,49.7,50.6,1.5,86,84.5,76.1,-8.4,48,0,47,46,0.6,37.5,49.5,12.4
2023-12-01T02:10:00,0,24.3,0,0,0,0,0,0,0.4,23.9,0,0,0,0,1.7,51.2,52.9,1.2,84.8,83.6,76.1,-7.5,48,0,0,0,1.6,98.4,0,0
2023-12-01T02:20:00,0,24.3,0,0,0,0,0,0,0.4,23.9,0,0,0,0,1.6,53,54.6,1.1,84.7,83.6,76.1,-7.5,48,0,0,0,1.6,98.4,0,0
2023-12-01T02:30:00,0,24.5,0,0,0,0,0,0,0.4,24.1,0,0,0,0,1.7,54.6,56.3,1,84.7,83.7,76.1,-7.6,48,0,0,0,1.6,98.4,0,0
2023-12-01T02:40:00,0,24.2,0,0,0,0,0,0,0.2,24,0,0,0,0,1.4,56.1,57.5,1,84.7,83.7,76.1,-7.6,48,0,0,0,0.9,99.1,0,0
2023-12-01T02:50:00,0,24.4,0,0,0,0,0,0,0.4,24,0,0,0,0,1.6,57.5,59.1,1.1,84.8,83.7,76.1,-7.6,48,0,0,0,1.6,98.4,0,0
2023-12-01T03:00:00,0,25.4,0,0,0,0,0,0,1.4,24.1,0,0,0,0,1.5,58.7,60.2,1.1,84.8,83.7,74.1,-9.6,48,0,0,0,5.4,94.6,0,0
2023-12-01T03:10:00,0,25.5,0,0,0,0,0,0,1.4,24.1,0,0,0,0,1.7,59.7,61.4,1.2,84.9,83.7,74.1,-9.6,48,0,0,0,5.4,94.6,0,0
2023-12-01T03:20:00,0,25.5,0,0,0,0,0,0,1.4,24.1,0,0,0,0,1.5,60.9,62.4,1.3,85,83.7,74.1,-9.6,48,0,0,0,5.4,94.6,0,0
2023-12-01T03:30:00,0,24.7,0,0,0,0,0,0,0.4,24.3,0,0,0,0,1.7,61.9,63.6,1.4,85.1,83.7,74.1,-9.6,48,0,0,0,1.6,98.4,0,0
2023-12-01T03:40:00,0,24.6,0,0,0,0,0,0,0.4,24.2,0,0,0,0,1.8,62.7,64.5,1.5,85.2,83.7,74.1,-9.6,48,0,0,0,1.6,98.4,0,0
2023-12-01T03:50:00,0,24.5,0,0,0,0,0,0,0.4,24.1,0,0,0,0,1.5,63.7,65.2,1.6,85.3,83.7,74.1,-9.6,48,0,0,0,1.6,98.4,0,0
2023-12-01T04:00:00,87.1,121.3,1.392,16.9,1,0,0,0,57.4,24.2,0,31.3,8.3,1307,1.6,64,65.6,1.4,84,82.6,74.3,-8.3,48,0,47,46,47.3,20,25.8,6.9
